Año,Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevas Inscriptas Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres,
2013,Universidad                                       ,Universidad Autónoma de Entre Ríos,Facultad de Ciencia y Tecnología,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,414,361,53,174,148,26,240,213,27,40,34,6,
2013,Universidad                                       ,Universidad Nacional de Luján,Rectorado,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,,,,,,,,,,1,1,,
2013,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,71,45,26,19,10,9,52,35,17,3,2,1,
2013,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO GALLEGOS,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,92,57,35,32,22,10,60,35,25,,,,
2013,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO TURBIO,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,53,44,9,33,27,6,20,17,3,,,,
2013,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rosario,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,2,,2,,,,2,,2,1,,1,
2013,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Tucumán,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,2,1,1,,,,2,1,1,,,,
2013,Universidad                                       ,Universidad de Mendoza,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,1,1,,,,,1,1,,,,,
2013,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ciencias de la Administración,"Computación, Sistemas e Informática",Analista de Sistemas - MD,Estatal                                           ,Pregrado            ,,,,,,,,,,36,29,7,
2013,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,,,,,,,,,,6,5,1,
2014,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,97,89,8,
2014,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática - Rosario,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,47,42,5,
2014,Universidad                                       ,Universidad Autónoma de Entre Ríos,Facultad de Ciencia y Tecnología,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,433,370,63,164,139,25,269,231,38,28,20,8,
2014,Universidad                                       ,Universidad Católica de Santiago del Estero,Departamento Académico San Salvador,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,6,6,,
2014,Universidad                                       ,Universidad Católica de Santiago del Estero,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,7,5,2,
2014,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,65,42,23,24,18,6,41,24,17,2,1,1,
2014,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO GALLEGOS,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,95,64,31,31,24,7,64,40,24,,,,
2014,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO TURBIO,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,36,27,9,13,8,5,23,19,4,,,,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rosario,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,1,,1,,,,1,,1,,,,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Santa Fé,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,1,1,,,,,1,1,,,,,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Tucumán,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,1,,1,,,,1,,1,1,,1,
2014,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ciencias de la Administración,"Computación, Sistemas e Informática",Analista de Sistemas - MD,Estatal                                           ,Pregrado            ,,,,,,,,,,15,10,5,
2014,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ingeniería,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Estatal                                           ,Pregrado            ,,,,,,,,,,6,6,,
2015,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería del Rosario,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,1,1,,
2015,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,97,86,11,
2015,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática - Rosario,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,43,37,6,
2015,Universidad                                       ,Universidad Autónoma de Entre Ríos,Facultad de Ciencia y Tecnología,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,470,407,63,154,134,20,316,273,43,26,23,3,
2015,Universidad                                       ,Universidad Católica de Santiago del Estero,Departamento Académico Rafaela,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,10,8,2,
2015,Universidad                                       ,Universidad Católica de Santiago del Estero,Departamento Académico San Salvador,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,3,3,,
2015,Universidad                                       ,Universidad Católica de Santiago del Estero,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,5,4,1,
2015,Universidad                                       ,Universidad Nacional de Córdoba,Escuela Superior de Comercio Manuel Belgrano,"Computación, Sistemas e Informática",Analista de Sistemas de Informática,Estatal                                           ,Pregrado            ,138,108,30,7,6,1,131,102,29,12,7,5,
2015,Universidad                                       ,Universidad Nacional de Luján,Rectorado,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,,,,,,,,,,9,9,,
2015,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,60,41,19,17,11,6,43,30,13,1,,1,
2015,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO GALLEGOS,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,97,73,24,33,26,7,64,47,17,1,1,,
2015,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO TURBIO,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,36,26,10,17,9,8,19,17,2,,,,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rosario,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,1,,1,,,,1,,1,,,,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Santa Fé,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,1,1,,,,,1,1,,1,1,,
2015,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ciencias de la Administración,"Computación, Sistemas e Informática",Analista de Sistemas - MD,Estatal                                           ,Pregrado            ,,,,,,,,,,20,18,2,
2015,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ingeniería,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Estatal                                           ,Pregrado            ,,,,,,,,,,9,9,,
2010,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Económicas San Francisco,"Computación, Sistemas e Informática",Licenciatura en Sistemas y Computación,Privada                                           ,Grado               ,83,76,7,16,15,1,67,61,6,,,,
2010,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería Fray Rogelio Bacon,"Computación, Sistemas e Informática",Licenciatura en Sistemas y Computación,Privada                                           ,Grado               ,87,74,13,11,11,,76,63,13,23,20,3,
2010,Universidad                                       ,Universidad Argentina John F. Kennedy,Escuela de Sistemas,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,"1,185",986,199,133,120,13,"1,052",866,186,3,2,1,
2010,Universidad                                       ,Universidad Autónoma de Entre Ríos,Facultad de Ciencia y Tecnología,"Computación, Sistemas e Informática",Licenciatura en Sistemas Informáticos,Estatal                                           ,Grado               ,603,447,156,,,,603,447,156,31,18,13,
2010,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,549,466,83,131,122,9,418,344,74,47,36,11,
2010,Universidad                                       ,Universidad CAECE,Departamento de Sistemas - Sede Mar del Plata,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,63,54,9,8,6,2,55,48,7,3,1,2,
2010,Universidad                                       ,Universidad Nacional de Chilecito,Escuela de Tecnología de la Información y las Comunicaciones,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,349,248,101,121,86,35,228,162,66,1,,1,
2010,Universidad                                       ,Universidad Nacional de Entre Ríos,Facultad de Ciencias de la Administración,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,264,182,82,57,38,19,207,144,63,16,11,5,
2010,Universidad                                       ,Universidad Nacional de Formosa,"Facultad de Administración, Economía y Negocios","Computación, Sistemas e Informática",Licenciatura en Sistemas - Ciclo de Licenciatura,Estatal                                           ,Grado               ,29,19,10,,,,29,19,10,14,8,6,
2010,Universidad                                       ,Universidad Nacional de Jujuy,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,375,244,131,70,52,18,305,192,113,2,2,,
2010,Universidad                                       ,Universidad Nacional de La Plata,Facultad de Informática,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,"1,689","1,339",350,317,263,54,"1,372","1,076",296,6,2,4,
2010,Universidad                                       ,Universidad Nacional de La Rioja,Sede Chamical,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,183,134,49,22,14,8,161,120,41,,,,
2010,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,767,586,181,130,101,29,637,485,152,6,3,3,
2010,Universidad                                       ,Universidad Nacional de Lanús,Departamento de Desarrollo Productivo y Trabajo,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,296,252,44,174,153,21,122,99,23,,,,
2010,Universidad                                       ,Universidad Nacional de Río Negro,Sede Atlántida,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,65,50,15,30,22,8,35,28,7,,,,
2010,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO GALLEGOS,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,61,36,25,26,16,10,35,20,15,4,1,3,
2010,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingeniería - Sede Trelew,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,54,44,10,54,44,10,,,,,,,
2010,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingeniería - Sede Ushuaia,"Computación, Sistemas e Informática",Licenciatura en Sistemas (orientación Calidad de Software),Estatal                                           ,Grado               ,23,21,2,23,21,2,,,,,,,
2010,Universidad                                       ,Universidad Nacional del Nordeste,Facultad de Ciencias Exactas y Naturales y Agrimensura,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,227,116,111,,,,227,116,111,36,18,18,
2010,Universidad                                       ,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Escuela de Tecnología,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,256,196,60,172,135,37,84,61,23,1,1,,
2010,Universidad                                       ,Universidad de Mendoza,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,45,42,3,2,2,,43,40,3,,,,
2010,Universidad                                       ,Universidad de Mendoza,Subsede San Rafael,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,15,12,3,,,,15,12,3,,,,
2010,Universidad                                       ,Universidad de Morón,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales","Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,204,162,42,33,27,6,171,135,36,11,7,4,
2010,Universidad                                       ,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,100,84,16,,,,100,84,16,4,3,1,
2011,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Económicas San Francisco,"Computación, Sistemas e Informática",Licenciatura en Sistemas y Computación,Privada                                           ,Grado               ,49,46,3,,,,49,46,3,,,,
2011,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería Fray Rogelio Bacon,"Computación, Sistemas e Informática",Licenciatura en Sistemas y Computación,Privada                                           ,Grado               ,57,49,8,7,6,1,50,43,7,17,13,4,
2011,Universidad                                       ,Universidad Argentina John F. Kennedy,Escuela de Sistemas,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,"1,026",866,160,85,76,9,941,790,151,3,3,,
2011,Universidad                                       ,Universidad Autónoma de Entre Ríos,Facultad de Ciencia y Tecnología,"Computación, Sistemas e Informática",Licenciatura en Sistemas Informáticos,Estatal                                           ,Grado               ,433,313,120,,,,433,313,120,21,8,13,
2011,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,541,448,93,114,96,18,427,352,75,77,61,16,
2011,Universidad                                       ,Universidad CAECE,Departamento de Sistemas - Sede Mar del Plata,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Privada                                           ,Grado               ,58,46,12,1,1,,57,45,12,7,3,4,
2011,Universidad                                       ,Universidad Nacional de Chilecito,Escuela de Tecnología de la Información y las Comunicaciones,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,387,274,113,38,26,12,349,248,101,2,2,,
2011,Universidad                                       ,Universidad Nacional de Entre Ríos,Facultad de Ciencias de la Administración,"Computación, Sistemas e Informática",Licenciatura en Sistemas,Estatal                                           ,Grado               ,238,171,67,51,42,9,187,129,58,11,8,3,
2011,Universidad                                       ,Universidad Nacional de Formosa,"Facultad de Administración, Economía y Negocios","Computación, Sistemas e Informática",Licenciatura en Sistemas - Ciclo de Licenciatura,Estatal                                           ,Grado               ,29,17,12,,,,29,17,12,29,17,12,
