Año,Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevas Inscriptas Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres,
2015,Universidad                                       ,Universidad Nacional de Tucumán,Facultad de Ciencias Exactas y Tecnología,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,102,87,15,11,7,4,91,80,11,1,1,,
2015,Universidad                                       ,Universidad Nacional de Villa María,Instituto de Ciencias Básicas,"Computación, Sistemas e Informática",Licenciatura en Informática - Ciclo de Licenciatura,Estatal                                           ,Grado               ,15,12,3,3,2,1,12,10,2,1,1,,
2015,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingenieria - Sede Puerto Madryn,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,56,48,8,19,13,6,37,35,2,2,1,1,
2015,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingeniería - Sede Comodoro Rivadavia,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,111,89,22,25,20,5,86,69,17,9,6,3,
2015,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingeniería - Sede Trelew,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,18,14,4,,,,18,14,4,6,5,1,
2015,Universidad                                       ,Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ingeniería - Sede Ushuaia,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,11,9,2,1,1,,10,8,2,2,2,,
2015,Universidad                                       ,Universidad Nacional del Oeste,Escuela de informática,"Computación, Sistemas e Informática",Licenciatura en Informática,Estatal                                           ,Grado               ,368,297,71,135,104,31,233,193,40,,,,
2015,Universidad                                       ,Universidad de Palermo,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Informática,Privada                                           ,Grado               ,189,165,24,37,31,6,152,134,18,14,12,2,
2010,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería Fray Rogelio Bacon,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,3,3,,
2010,Universidad                                       ,Universidad Argentina John F. Kennedy,Escuela de Sistemas,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,27,23,4,
2010,Universidad                                       ,Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,5,4,1,
2010,Universidad                                       ,Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,1,1,,
2010,Universidad                                       ,Universidad Autónoma de Entre Ríos,Facultad de Ciencia y Tecnología,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,265,215,50,160,142,18,105,73,32,36,21,15,
2010,Universidad                                       ,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,4,2,2,
