,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,1,,2012,Ingeniería en Sistemas,1,Ingeniería en Computación,1,Facultad de Ingeniería,7,55,1,Universidad de Mendoza,48,54,Grado               ,7,47,,Privada                                           ,Universidad                                       
,3,,2013,Ingeniería en Sistemas,3,Ingeniería en Computación,,Facultad de Ingeniería y Ciencias Exactas y Naturales,,6,,Universidad  Favaloro,6,3,Grado               ,,3,,Privada                                           ,Universidad                                       
,1,,2013,Ingeniería en Sistemas,1,Ingeniería en Computación,,Facultad de Ingeniería,11,30,,Universidad Católica de Córdoba,19,29,Grado               ,11,18,,Privada                                           ,Universidad                                       
,,,2013,Ingeniería en Sistemas,,Ingeniería en Computación,4,Departamento Académico Rafaela,,4,4,Universidad Católica de Santiago del Estero,4,4,Grado               ,,4,,Privada                                           ,Universidad                                       
,1,,2013,Ingeniería en Sistemas,1,Ingeniería en Computación,5,Departamento Académico San Salvador,,7,5,Universidad Católica de Santiago del Estero,7,6,Grado               ,,6,,Privada                                           ,Universidad                                       
,4,,2013,Ingeniería en Sistemas,4,Ingeniería en Computación,5,Facultad de Matemática Aplicada,,23,5,Universidad Católica de Santiago del Estero,23,19,Grado               ,,19,,Privada                                           ,Universidad                                       
,77,6,2013,Ingeniería en Sistemas,61,Ingeniería en Computación,18,"Facultad de Ciencias Exactas, Físicas y Naturales",181,702,24,Universidad Nacional de Córdoba,521,625,Grado               ,165,460,16,Estatal                                           ,Universidad                                       
,57,,2013,Ingeniería en Sistemas,34,Ingeniería en Computación,,Facultad de Informática e Ingeniería,196,548,,Universidad Nacional de La Plata,352,491,Grado               ,173,318,23,Estatal                                           ,Universidad                                       
,2,,2013,Ingeniería en Sistemas,,Ingeniería en Computación,,Facultad de Cs. Físico-Matemáticas y Naturales,22,30,,Universidad Nacional de San Luis,8,28,Grado               ,20,8,2,Estatal                                           ,Universidad                                       
,38,,2013,Ingeniería en Sistemas,28,Ingeniería en Computación,,Secretaría Académica,171,409,,Universidad Nacional de Tres de Febrero,238,371,Grado               ,161,210,10,Estatal                                           ,Universidad                                       
,94,5,2013,Ingeniería en Sistemas,79,Ingeniería en Computación,20,Facultad de Ciencias Exactas y Tecnología,82,502,25,Universidad Nacional de Tucumán,420,408,Grado               ,67,341,15,Estatal                                           ,Universidad                                       
,6,,2013,Ingeniería en Sistemas,,Ingeniería en Computación,,Departamento de Ciencias e Ingeniería de la Computación,85,85,,Universidad Nacional del Sur,,79,Grado               ,79,,6,Estatal                                           ,Universidad                                       
,1,1,2013,Ingeniería en Sistemas,1,Ingeniería en Computación,6,Facultad de Ingeniería,7,55,7,Universidad de Mendoza,48,54,Grado               ,7,47,,Privada                                           ,Universidad                                       
,3,,2014,Ingeniería en Sistemas,3,Ingeniería en Computación,,Facultad de Ingeniería y Ciencias Exactas y Naturales,,6,,Universidad  Favaloro,6,3,Grado               ,,3,,Privada                                           ,Universidad                                       
,1,,2014,Ingeniería en Sistemas,1,Ingeniería en Computación,1,Facultad de Ingeniería,7,34,1,Universidad Católica de Córdoba,27,33,Grado               ,7,26,,Privada                                           ,Universidad                                       
,,,2014,Ingeniería en Sistemas,,Ingeniería en Computación,,Departamento Académico Rafaela,,1,,Universidad Católica de Santiago del Estero,1,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,1,,2014,Ingeniería en Sistemas,1,Ingeniería en Computación,,Departamento Académico San Salvador,,3,,Universidad Católica de Santiago del Estero,3,2,Grado               ,,2,,Privada                                           ,Universidad                                       
,5,,2014,Ingeniería en Sistemas,5,Ingeniería en Computación,2,Facultad de Matemática Aplicada,,21,2,Universidad Católica de Santiago del Estero,21,16,Grado               ,,16,,Privada                                           ,Universidad                                       
,80,4,2014,Ingeniería en Sistemas,59,Ingeniería en Computación,15,"Facultad de Ciencias Exactas, Físicas y Naturales",233,784,19,Universidad Nacional de Córdoba,551,704,Grado               ,212,492,21,Estatal                                           ,Universidad                                       
,73,,2014,Ingeniería en Sistemas,43,Ingeniería en Computación,4,Facultad de Informática e Ingeniería,238,644,4,Universidad Nacional de La Plata,406,571,Grado               ,208,363,30,Estatal                                           ,Universidad                                       
,1,,2014,Ingeniería en Sistemas,,Ingeniería en Computación,,Facultad de Ingeniería,11,12,,Universidad Nacional de Mar del Plata,1,11,Grado               ,10,1,1,Estatal                                           ,Universidad                                       
,3,,2014,Ingeniería en Sistemas,,Ingeniería en Computación,,Facultad de Cs. Físico-Matemáticas y Naturales,6,18,,Universidad Nacional de San Luis,12,15,Grado               ,3,12,3,Estatal                                           ,Universidad                                       
,42,,2014,Ingeniería en Sistemas,23,Ingeniería en Computación,,Secretaría Académica,181,453,,Universidad Nacional de Tres de Febrero,272,411,Grado               ,162,249,19,Estatal                                           ,Universidad                                       
,153,7,2014,Ingeniería en Sistemas,49,Ingeniería en Computación,8,Facultad de Ciencias Exactas y Tecnología,636,"1,024",15,Universidad Nacional de Tucumán,388,871,Grado               ,532,339,104,Estatal                                           ,Universidad                                       
,17,,2014,Ingeniería en Sistemas,5,Ingeniería en Computación,,Departamento de Ciencias e Ingeniería de la Computación,83,137,,Universidad Nacional del Sur,54,120,Grado               ,71,49,12,Estatal                                           ,Universidad                                       
,,,2014,Ingeniería en Sistemas,,Ingeniería en Computación,1,Facultad de Ingeniería,9,43,1,Universidad de Mendoza,34,43,Grado               ,9,34,,Privada                                           ,Universidad                                       
,3,,2015,Ingeniería en Sistemas,3,Ingeniería en Computación,,Facultad de Ingeniería y Ciencias Exactas y Naturales,,5,,Universidad  Favaloro,5,2,Grado               ,,2,,Privada                                           ,Universidad                                       
,2,1,2015,Ingeniería en Sistemas,1,Ingeniería en Computación,3,Facultad de Ingeniería,6,30,4,Universidad Católica de Córdoba,24,28,Grado               ,5,23,1,Privada                                           ,Universidad                                       
,5,,2015,Ingeniería en Sistemas,5,Ingeniería en Computación,1,Facultad de Matemática Aplicada,,19,1,Universidad Católica de Santiago del Estero,19,14,Grado               ,,14,,Privada                                           ,Universidad                                       
,72,4,2015,Ingeniería en Sistemas,59,Ingeniería en Computación,16,"Facultad de Ciencias Exactas, Físicas y Naturales",209,785,20,Universidad Nacional de Córdoba,576,713,Grado               ,196,517,13,Estatal                                           ,Universidad                                       
,68,1,2015,Ingeniería en Sistemas,47,Ingeniería en Computación,13,Facultad de Informática e Ingeniería,155,596,14,Universidad Nacional de La Plata,441,528,Grado               ,134,394,21,Estatal                                           ,Universidad                                       
,5,,2015,Ingeniería en Sistemas,2,Ingeniería en Computación,,Facultad de Ingeniería,29,48,,Universidad Nacional de Mar del Plata,19,43,Grado               ,26,17,3,Estatal                                           ,Universidad                                       
,4,,2015,Ingeniería en Sistemas,2,Ingeniería en Computación,,Facultad de Cs. Físico-Matemáticas y Naturales,11,23,,Universidad Nacional de San Luis,12,19,Grado               ,9,10,2,Estatal                                           ,Universidad                                       
,51,,2015,Ingeniería en Sistemas,29,Ingeniería en Computación,,Secretaría Académica,246,569,,Universidad Nacional de Tres de Febrero,323,518,Grado               ,224,294,22,Estatal                                           ,Universidad                                       
,42,5,2015,Ingeniería en Sistemas,35,Ingeniería en Computación,10,Facultad de Ciencias Exactas y Tecnología,91,497,15,Universidad Nacional de Tucumán,406,455,Grado               ,84,371,7,Estatal                                           ,Universidad                                       
,12,,2015,Ingeniería en Sistemas,8,Ingeniería en Computación,,Departamento de Ciencias e Ingeniería de la Computación,58,140,,Universidad Nacional del Sur,82,128,Grado               ,54,74,4,Estatal                                           ,Universidad                                       
,,,2015,Ingeniería en Sistemas,,Ingeniería en Computación,1,Facultad de Ingeniería,14,47,1,Universidad de Mendoza,33,47,Grado               ,14,33,,Privada                                           ,Universidad                                       
,25,1,2010,Ingeniería en Sistemas,14,Ingeniería en Informática,11,Facultad de Ciencias Físico Matemáticas e Ingeniería,36,164,12,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,128,139,Grado               ,25,114,11,Privada                                           ,Universidad                                       
,174,1,2010,Ingeniería en Sistemas,141,Ingeniería en Informática,2,Facultad de Ingeniería y Ciencias Exactas,340,"1,608",3,Universidad Argentina de la Empresa,"1,268","1,434",Grado               ,307,"1,127",33,Privada                                           ,Universidad                                       
,2,,2010,Ingeniería en Sistemas,1,Ingeniería en Informática,,ANEXO MAR DEL PLATA,4,10,,Universidad Atlántida Argentina,6,8,Grado               ,3,5,1,Privada                                           ,Universidad                                       
,4,,2010,Ingeniería en Sistemas,3,Ingeniería en Informática,,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,10,27,,Universidad Atlántida Argentina,17,23,Grado               ,9,14,1,Privada                                           ,Universidad                                       
,15,1,2010,Ingeniería en Sistemas,11,Ingeniería en Informática,5,Facultad de Ingeniería,17,94,6,Universidad Austral,77,79,Grado               ,13,66,4,Privada                                           ,Universidad                                       
,30,3,2010,Ingeniería en Sistemas,29,Ingeniería en Informática,7,Facultad de Ingeniería e Informática,41,285,10,Universidad Católica de Salta,244,255,Grado               ,40,215,1,Privada                                           ,Universidad                                       
,15,2,2010,Ingeniería en Sistemas,14,Ingeniería en Informática,12,Subsede Académica Buenos Aires,10,116,14,Universidad Católica de Salta,106,101,Grado               ,9,92,1,Privada                                           ,Universidad                                       
,11,,2010,Ingeniería en Sistemas,7,Ingeniería en Informática,,Departamento Académico Rafaela,28,97,,Universidad Católica de Santiago del Estero,69,86,Grado               ,24,62,4,Privada                                           ,Universidad                                       
,27,,2010,Ingeniería en Sistemas,19,Ingeniería en Informática,,Departamento Académico San Salvador,30,131,,Universidad Católica de Santiago del Estero,101,104,Grado               ,22,82,8,Privada                                           ,Universidad                                       
,14,,2010,Ingeniería en Sistemas,10,Ingeniería en Informática,,Facultad de Matemática Aplicada,35,114,,Universidad Católica de Santiago del Estero,79,100,Grado               ,31,69,4,Privada                                           ,Universidad                                       
,22,,2010,Ingeniería en Sistemas,18,Ingeniería en Informática,2,Departamento de Informática,54,226,2,Universidad Gastón Dachary,172,204,Grado               ,50,154,4,Privada                                           ,Universidad                                       
,51,,2010,Ingeniería en Sistemas,41,Ingeniería en Informática,,Facultad de Tecnología y Ciencias Aplicadas,64,238,,Universidad Nacional de Catamarca,174,187,Grado               ,54,133,10,Estatal                                           ,Universidad                                       
,259,1,2010,Ingeniería en Sistemas,221,Ingeniería en Informática,4,Facultad de Ingeniería,210,984,5,Universidad Nacional de Jujuy,774,725,Grado               ,172,553,38,Estatal                                           ,Universidad                                       
,821,11,2010,Ingeniería en Sistemas,721,Ingeniería en Informática,59,Departamento de Ingeniería e Investigaciones Tecnológicas,662,"4,439",70,Universidad Nacional de La Matanza,"3,777","3,618",Grado               ,562,"3,056",100,Estatal                                           ,Universidad                                       
,129,3,2010,Ingeniería en Sistemas,95,Ingeniería en Informática,14,Facultad de Ingeniería y Ciencias Hídricas,214,952,17,Universidad Nacional del Litoral,738,823,Grado               ,180,643,34,Estatal                                           ,Universidad                                       
,29,,2010,Ingeniería en Sistemas,16,Ingeniería en Informática,,Escuela de Tecnología,95,197,,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,102,168,Grado               ,82,86,13,Estatal                                           ,Universidad                                       
,47,,2010,Ingeniería en Sistemas,46,Ingeniería en Informática,11,Facultad de Tecnología Informática,14,296,11,Universidad de Belgrano,282,249,Grado               ,13,236,1,Privada                                           ,Universidad                                       
,,,2010,Ingeniería en Sistemas,,Ingeniería en Informática,,Facultad de Ingeniería,"1,117","4,056",71,Universidad de Buenos Aires,"2,939",,Grado               ,,,,Estatal                                           ,Universidad                                       
,18,1,2010,Ingeniería en Sistemas,16,Ingeniería en Informática,9,Facultad de Ingeniería,29,166,10,Universidad de Mendoza,137,148,Grado               ,27,121,2,Privada                                           ,Universidad                                       
,18,2,2010,Ingeniería en Sistemas,18,Ingeniería en Informática,1,Subsede San Rafael,16,100,3,Universidad de Mendoza,84,82,Grado               ,16,66,,Privada                                           ,Universidad                                       
,41,1,2010,Ingeniería en Sistemas,35,Ingeniería en Informática,10,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",44,293,11,Universidad de Morón,249,252,Grado               ,38,214,6,Privada                                           ,Universidad                                       
,54,,2010,Ingeniería en Sistemas,40,Ingeniería en Informática,15,Facultad de Ingeniería,107,434,15,Universidad de Palermo,327,380,Grado               ,93,287,14,Privada                                           ,Universidad                                       
,19,,2010,Ingeniería en Sistemas,14,Ingeniería en Informática,15,Facultad de Ingeniería,34,247,15,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,213,228,Grado               ,29,199,5,Privada                                           ,Universidad                                       
,9,1,2010,Ingeniería en Sistemas,7,Ingeniería en Informática,,Secretaria Académica,10,53,1,Universidad del CEMA,43,44,Grado               ,8,36,2,Privada                                           ,Universidad                                       
,21,2,2010,Ingeniería en Sistemas,15,Ingeniería en Informática,16,Facultad de Ingeniería,26,118,18,Universidad del Norte Santo Tomás de Aquino,92,97,Grado               ,20,77,6,Privada                                           ,Universidad                                       
,13,,2010,Ingeniería en Sistemas,9,Ingeniería en Informática,,Complejo Educativo Nuestra Señora del Pilar,34,102,,Universidad del Salvador,68,89,Grado               ,30,59,4,Privada                                           ,Universidad                                       
,60,,2010,Ingeniería en Sistemas,22,Ingeniería en Informática,,Facultad de Ciencias de la Administración,41,192,,Universidad del Salvador,151,132,Grado               ,3,129,38,Privada                                           ,Universidad                                       
,20,1,2010,Ingeniería en Sistemas,15,Ingeniería en Informática,29,Departamento de Informática,50,194,30,Instituto Tecnológico de Buenos Aires,144,174,Grado               ,45,129,5,Privada                                           ,Instituto Universitario                           
,5,,2010,Ingeniería en Sistemas,4,Ingeniería en Informática,,Facultad de Ingeniería,25,111,,Instituto Universitario Aeronáutico,86,106,Grado               ,24,82,1,Estatal                                           ,Instituto Universitario                           
,4,1,2010,Ingeniería en Sistemas,3,Ingeniería en Informática,7,Unidad Académica Escuela Superior Técnica,16,50,8,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",34,46,Grado               ,15,31,1,Estatal                                           ,Instituto Universitario                           
,19,4,2011,Ingeniería en Sistemas,18,Ingeniería en Informática,5,Facultad de Ciencias Físico Matemáticas e Ingeniería,19,138,9,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,119,119,Grado               ,18,101,1,Privada                                           ,Universidad                                       
,176,2,2011,Ingeniería en Sistemas,137,Ingeniería en Informática,25,Facultad de Ingeniería y Ciencias Exactas,328,"1,610",27,Universidad Argentina de la Empresa,"1,282","1,434",Grado               ,289,"1,145",39,Privada                                           ,Universidad                                       
,2,,2011,Ingeniería en Sistemas,2,Ingeniería en Informática,,ANEXO MAR DEL PLATA,2,9,,Universidad Atlántida Argentina,7,7,Grado               ,2,5,,Privada                                           ,Universidad                                       
,5,,2011,Ingeniería en Sistemas,3,Ingeniería en Informática,,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,12,25,,Universidad Atlántida Argentina,13,20,Grado               ,10,10,2,Privada                                           ,Universidad                                       
,12,,2011,Ingeniería en Sistemas,11,Ingeniería en Informática,4,Facultad de Ingeniería,22,84,4,Universidad Austral,62,72,Grado               ,21,51,1,Privada                                           ,Universidad                                       
,40,4,2011,Ingeniería en Sistemas,35,Ingeniería en Informática,23,Facultad de Ingeniería,42,356,27,Universidad Católica de Salta,314,316,Grado               ,37,279,5,Privada                                           ,Universidad                                       
,11,,2011,Ingeniería en Sistemas,11,Ingeniería en Informática,,Departamento Académico Rafaela,21,113,,Universidad Católica de Santiago del Estero,92,102,Grado               ,21,81,,Privada                                           ,Universidad                                       
,28,,2011,Ingeniería en Sistemas,23,Ingeniería en Informática,,Departamento Académico San Salvador,34,139,,Universidad Católica de Santiago del Estero,105,111,Grado               ,29,82,5,Privada                                           ,Universidad                                       
,16,,2011,Ingeniería en Sistemas,11,Ingeniería en Informática,,Facultad de Matemática Aplicada,34,119,,Universidad Católica de Santiago del Estero,85,103,Grado               ,29,74,5,Privada                                           ,Universidad                                       
,29,,2011,Ingeniería en Sistemas,24,Ingeniería en Informática,3,Departamento de Informática,89,279,3,Universidad Gastón Dachary,190,250,Grado               ,84,166,5,Privada                                           ,Universidad                                       
,,,2011,Ingeniería en Sistemas,,Ingeniería en Informática,,Departamento de Informática Oberá,,2,,Universidad Gastón Dachary,2,2,Grado               ,,2,,Privada                                           ,Universidad                                       
,50,,2011,Ingeniería en Sistemas,39,Ingeniería en Informática,,Facultad de Tecnología y Ciencias Aplicadas,61,225,,Universidad Nacional de Catamarca,164,175,Grado               ,50,125,11,Estatal                                           ,Universidad                                       
,250,,2011,Ingeniería en Sistemas,211,Ingeniería en Informática,5,Facultad de Ingeniería,216,"1,001",5,Universidad Nacional de Jujuy,785,751,Grado               ,177,574,39,Estatal                                           ,Universidad                                       
,732,6,2011,Ingeniería en Sistemas,638,Ingeniería en Informática,41,Departamento de Ingeniería e Investigaciones Tecnológicas,516,"4,261",47,Universidad Nacional de La Matanza,"3,745","3,529",Grado               ,422,"3,107",94,Estatal                                           ,Universidad                                       
,123,,2011,Ingeniería en Sistemas,98,Ingeniería en Informática,8,Facultad de Ingeniería y Ciencias Hídricas,197,925,8,Universidad Nacional del Litoral,728,802,Grado               ,172,630,25,Estatal                                           ,Universidad                                       
,20,,2011,Ingeniería en Sistemas,18,Ingeniería en Informática,6,Escuela de Tecnología,49,200,6,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,151,180,Grado               ,47,133,2,Estatal                                           ,Universidad                                       
,54,,2011,Ingeniería en Sistemas,48,Ingeniería en Informática,11,Facultad de Tecnología Informática,22,320,11,Universidad de Belgrano,298,266,Grado               ,16,250,6,Privada                                           ,Universidad                                       
,616,11,2011,Ingeniería en Sistemas,451,Ingeniería en Informática,52,Facultad de Ingeniería,"1,087","4,330",63,Universidad de Buenos Aires,"3,243","3,714",Grado               ,922,"2,792",165,Estatal                                           ,Universidad                                       
,13,,2011,Ingeniería en Sistemas,13,Ingeniería en Informática,4,Facultad de Ingeniería,15,135,4,Universidad de Mendoza,120,122,Grado               ,15,107,,Privada                                           ,Universidad                                       
,21,3,2011,Ingeniería en Sistemas,16,Ingeniería en Informática,2,Subsede San Rafael,16,107,5,Universidad de Mendoza,91,86,Grado               ,11,75,5,Privada                                           ,Universidad                                       
,34,2,2011,Ingeniería en Sistemas,26,Ingeniería en Informática,6,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",77,278,8,Universidad de Morón,201,244,Grado               ,69,175,8,Privada                                           ,Universidad                                       
,49,2,2011,Ingeniería en Sistemas,44,Ingeniería en Informática,14,Facultad de Ingeniería,114,466,16,Universidad de Palermo,352,417,Grado               ,109,308,5,Privada                                           ,Universidad                                       
,15,4,2011,Ingeniería en Sistemas,11,Ingeniería en Informática,22,Facultad de Ingeniería,18,207,26,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,189,192,Grado               ,14,178,4,Privada                                           ,Universidad                                       
,5,2,2011,Ingeniería en Sistemas,5,Ingeniería en Informática,2,Secretaria Académica,14,43,4,Universidad del CEMA,29,38,Grado               ,14,24,,Privada                                           ,Universidad                                       
,14,4,2011,Ingeniería en Sistemas,12,Ingeniería en Informática,8,Facultad de Ingeniería,24,100,12,Universidad del Norte Santo Tomás de Aquino,76,86,Grado               ,22,64,2,Privada                                           ,Universidad                                       
,12,,2011,Ingeniería en Sistemas,9,Ingeniería en Informática,,Complejo Educativo Nuestra Señora del Pilar,44,135,,Universidad del Salvador,91,123,Grado               ,41,82,3,Privada                                           ,Universidad                                       
,33,,2011,Ingeniería en Sistemas,24,Ingeniería en Informática,,Facultad de Ciencias de la Administración,51,211,,Universidad del Salvador,160,178,Grado               ,42,136,9,Privada                                           ,Universidad                                       
,26,3,2011,Ingeniería en Sistemas,20,Ingeniería en Informática,24,Departamento de Informática,38,200,27,Instituto Tecnológico de Buenos Aires,162,174,Grado               ,32,142,6,Privada                                           ,Instituto Universitario                           
,10,,2011,Ingeniería en Sistemas,6,Ingeniería en Informática,6,Facultad de Ingeniería,25,181,6,Instituto Universitario Aeronáutico,156,171,Grado               ,21,150,4,Estatal                                           ,Instituto Universitario                           
,2,,2011,Ingeniería en Sistemas,2,Ingeniería en Informática,1,Unidad Académica Escuela Superior Técnica,10,46,1,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",36,44,Grado               ,10,34,,Estatal                                           ,Instituto Universitario                           
,16,3,2012,Ingeniería en Sistemas,14,Ingeniería en Informática,6,Facultad de Ciencias Físico Matemáticas e Ingeniería,24,115,9,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,91,99,Grado               ,22,77,2,Privada                                           ,Universidad                                       
,186,5,2012,Ingeniería en Sistemas,142,Ingeniería en Informática,30,Facultad de Ingeniería y Ciencias Exactas,311,"1,568",35,Universidad Argentina de la Empresa,"1,257","1,382",Grado               ,267,"1,115",44,Privada                                           ,Universidad                                       
,2,,2012,Ingeniería en Sistemas,2,Ingeniería en Informática,,ANEXO MAR DEL PLATA,,8,,Universidad Atlántida Argentina,8,6,Grado               ,,6,,Privada                                           ,Universidad                                       
,3,1,2012,Ingeniería en Sistemas,3,Ingeniería en Informática,2,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,12,26,3,Universidad Atlántida Argentina,14,23,Grado               ,12,11,,Privada                                           ,Universidad                                       
,12,10,2012,Ingeniería en Sistemas,10,Ingeniería en Informática,23,Facultad de Ingeniería,23,89,33,Universidad Austral,66,77,Grado               ,21,56,2,Privada                                           ,Universidad                                       
,33,3,2012,Ingeniería en Sistemas,31,Ingeniería en Informática,23,Facultad de Ingeniería,53,338,26,Universidad Católica de Salta,285,305,Grado               ,51,254,2,Privada                                           ,Universidad                                       
,17,1,2012,Ingeniería en Sistemas,10,Ingeniería en Informática,5,Departamento Académico Rafaela,27,126,6,Universidad Católica de Santiago del Estero,99,109,Grado               ,20,89,7,Privada                                           ,Universidad                                       
,25,,2012,Ingeniería en Sistemas,22,Ingeniería en Informática,,Departamento Académico San Salvador,29,138,,Universidad Católica de Santiago del Estero,109,113,Grado               ,26,87,3,Privada                                           ,Universidad                                       
,14,,2012,Ingeniería en Sistemas,14,Ingeniería en Informática,,Facultad de Matemática Aplicada,38,137,,Universidad Católica de Santiago del Estero,99,123,Grado               ,38,85,,Privada                                           ,Universidad                                       
,24,,2012,Ingeniería en Sistemas,19,Ingeniería en Informática,,Departamento de Informática,70,259,,Universidad Gastón Dachary,189,235,Grado               ,65,170,5,Privada                                           ,Universidad                                       
,85,,2012,Ingeniería en Sistemas,,Ingeniería en Informática,,Departamento de Produccion y Trabajo,565,565,,Universidad Nacional de Avellaneda,,480,Grado               ,480,,85,Estatal                                           ,Universidad                                       
,41,2,2012,Ingeniería en Sistemas,31,Ingeniería en Informática,2,Facultad de Tecnología y Ciencias Aplicadas,57,213,4,Universidad Nacional de Catamarca,156,172,Grado               ,47,125,10,Estatal                                           ,Universidad                                       
,239,,2012,Ingeniería en Sistemas,208,Ingeniería en Informática,,Facultad de Ingeniería,188,980,,Universidad Nacional de Jujuy,792,741,Grado               ,157,584,31,Estatal                                           ,Universidad                                       
,542,15,2012,Ingeniería en Sistemas,486,Ingeniería en Informática,72,Departamento de Ingeniería e Investigaciones Tecnológicas,367,"3,249",87,Universidad Nacional de La Matanza,"2,882","2,707",Grado               ,311,"2,396",56,Estatal                                           ,Universidad                                       
,7,,2012,Ingeniería en Sistemas,,Ingeniería en Informática,,Facultad de Cs. Físico-Matemáticas y Naturales,56,56,,Universidad Nacional de San Luis,,49,Grado               ,49,,7,Estatal                                           ,Universidad                                       
,106,3,2012,Ingeniería en Sistemas,92,Ingeniería en Informática,6,Facultad de Ingeniería y Ciencias Hídricas,163,887,9,Universidad Nacional del Litoral,724,781,Grado               ,149,632,14,Estatal                                           ,Universidad                                       
,21,2,2012,Ingeniería en Sistemas,20,Ingeniería en Informática,3,Escuela de Tecnología,37,196,5,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,159,175,Grado               ,36,139,1,Estatal                                           ,Universidad                                       
,,,2012,Ingeniería en Sistemas,,Ingeniería en Informática,,Escuela de Tecnología - Sede Pergamino,,3,,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,3,3,Grado               ,,3,,Estatal                                           ,Universidad                                       
,54,,2012,Ingeniería en Sistemas,48,Ingeniería en Informática,11,Facultad de Tecnología Informática,31,320,11,Universidad de Belgrano,289,266,Grado               ,25,241,6,Privada                                           ,Universidad                                       
,577,2,2012,Ingeniería en Sistemas,445,Ingeniería en Informática,47,Facultad de Ingeniería,916,"3,963",49,Universidad de Buenos Aires,"3,047","3,386",Grado               ,784,"2,602",132,Estatal                                           ,Universidad                                       
,12,1,2012,Ingeniería en Sistemas,12,Ingeniería en Informática,6,Facultad de Ingeniería,12,111,7,Universidad de Mendoza,99,99,Grado               ,12,87,,Privada                                           ,Universidad                                       
,14,3,2012,Ingeniería en Sistemas,14,Ingeniería en Informática,10,Subsede San Rafael,14,95,13,Universidad de Mendoza,81,81,Grado               ,14,67,,Privada                                           ,Universidad                                       
,33,4,2012,Ingeniería en Sistemas,27,Ingeniería en Informática,6,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",62,261,10,Universidad de Morón,199,228,Grado               ,56,172,6,Privada                                           ,Universidad                                       
,49,3,2012,Ingeniería en Sistemas,39,Ingeniería en Informática,9,Facultad de Ingeniería,71,394,12,Universidad de Palermo,323,345,Grado               ,61,284,10,Privada                                           ,Universidad                                       
,8,1,2012,Ingeniería en Sistemas,7,Ingeniería en Informática,7,Facultad de Ingeniería,20,172,8,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,152,164,Grado               ,19,145,1,Privada                                           ,Universidad                                       
,6,1,2012,Ingeniería en Sistemas,5,Ingeniería en Informática,3,Secretaria Académica,11,50,4,Universidad del CEMA,39,44,Grado               ,10,34,1,Privada                                           ,Universidad                                       
,16,1,2012,Ingeniería en Sistemas,10,Ingeniería en Informática,8,Facultad de Ingeniería,26,101,9,Universidad del Norte Santo Tomás de Aquino,75,85,Grado               ,20,65,6,Privada                                           ,Universidad                                       
,16,,2012,Ingeniería en Sistemas,13,Ingeniería en Informática,,Complejo Educativo Nuestra Señora del Pilar,49,174,,Universidad del Salvador,125,158,Grado               ,46,112,3,Privada                                           ,Universidad                                       
,36,2,2012,Ingeniería en Sistemas,27,Ingeniería en Informática,6,Facultad de Ciencias de la Administración,49,243,8,Universidad del Salvador,194,207,Grado               ,40,167,9,Privada                                           ,Universidad                                       
,27,1,2012,Ingeniería en Sistemas,20,Ingeniería en Informática,23,Departamento de Informática,42,189,24,Instituto Tecnológico de Buenos Aires,147,162,Grado               ,35,127,7,Privada                                           ,Instituto Universitario                           
,11,,2012,Ingeniería en Sistemas,9,Ingeniería en Informática,7,Facultad de Ingeniería,17,132,7,Instituto Universitario Aeronáutico,115,121,Grado               ,15,106,2,Estatal                                           ,Instituto Universitario                           
,4,1,2012,Ingeniería en Sistemas,3,Ingeniería en Informática,1,Unidad Académica Escuela Superior Técnica,6,45,2,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",39,41,Grado               ,5,36,1,Estatal                                           ,Instituto Universitario                           
,14,2,2013,Ingeniería en Sistemas,11,Ingeniería en Informática,11,Facultad de Ciencias Físico Matemáticas e Ingeniería,32,116,13,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,84,102,Grado               ,29,73,3,Privada                                           ,Universidad                                       
