,Total de Egresados,Nivel de la Oferta,Carrera,Reinscriptos Mujeres,Nuevos Inscriptos Varones,Estudiantes Mujeres,Total de Estudiantes,Gestión,Total de Nuevos Inscriptos,Tipo de Institución,Estudiantes Varones,Egresados Varones,Unidad Académica,Egresados Mujeres,Total de Reinscriptos,Año,Institución,Nuevas Inscriptas Mujeres,Título,Reinscriptos Varones
,25,Grado               ,Ingeniería en Sistemas,79,67,94,502,Estatal                                           ,82,Universidad                                       ,408,20,Facultad de Ciencias Exactas y Tecnología,5,420,2013,Universidad Nacional de Tucumán,15,Ingeniería en Computación,341
,,Grado               ,Ingeniería en Sistemas,,79,6,85,Estatal                                           ,85,Universidad                                       ,79,,Departamento de Ciencias e Ingeniería de la Computación,,,2013,Universidad Nacional del Sur,6,Ingeniería en Computación,
,7,Grado               ,Ingeniería en Sistemas,1,7,1,55,Privada                                           ,7,Universidad                                       ,54,6,Facultad de Ingeniería,1,48,2013,Universidad de Mendoza,,Ingeniería en Computación,47
,,Grado               ,Ingeniería en Sistemas,3,,3,6,Privada                                           ,,Universidad                                       ,3,,Facultad de Ingeniería y Ciencias Exactas y Naturales,,6,2014,Universidad  Favaloro,,Ingeniería en Computación,3
,1,Grado               ,Ingeniería en Sistemas,1,7,1,34,Privada                                           ,7,Universidad                                       ,33,1,Facultad de Ingeniería,,27,2014,Universidad Católica de Córdoba,,Ingeniería en Computación,26
,,Grado               ,Ingeniería en Sistemas,,,,1,Privada                                           ,,Universidad                                       ,1,,Departamento Académico Rafaela,,1,2014,Universidad Católica de Santiago del Estero,,Ingeniería en Computación,1
,,Grado               ,Ingeniería en Sistemas,1,,1,3,Privada                                           ,,Universidad                                       ,2,,Departamento Académico San Salvador,,3,2014,Universidad Católica de Santiago del Estero,,Ingeniería en Computación,2
,2,Grado               ,Ingeniería en Sistemas,5,,5,21,Privada                                           ,,Universidad                                       ,16,2,Facultad de Matemática Aplicada,,21,2014,Universidad Católica de Santiago del Estero,,Ingeniería en Computación,16
,19,Grado               ,Ingeniería en Sistemas,59,212,80,784,Estatal                                           ,233,Universidad                                       ,704,15,"Facultad de Ciencias Exactas, Físicas y Naturales",4,551,2014,Universidad Nacional de Córdoba,21,Ingeniería en Computación,492
,4,Grado               ,Ingeniería en Sistemas,43,208,73,644,Estatal                                           ,238,Universidad                                       ,571,4,Facultad de Informática e Ingeniería,,406,2014,Universidad Nacional de La Plata,30,Ingeniería en Computación,363
,,Grado               ,Ingeniería en Sistemas,,10,1,12,Estatal                                           ,11,Universidad                                       ,11,,Facultad de Ingeniería,,1,2014,Universidad Nacional de Mar del Plata,1,Ingeniería en Computación,1
,,Grado               ,Ingeniería en Sistemas,,3,3,18,Estatal                                           ,6,Universidad                                       ,15,,Facultad de Cs. Físico-Matemáticas y Naturales,,12,2014,Universidad Nacional de San Luis,3,Ingeniería en Computación,12
,,Grado               ,Ingeniería en Sistemas,23,162,42,453,Estatal                                           ,181,Universidad                                       ,411,,Secretaría Académica,,272,2014,Universidad Nacional de Tres de Febrero,19,Ingeniería en Computación,249
,15,Grado               ,Ingeniería en Sistemas,49,532,153,"1,024",Estatal                                           ,636,Universidad                                       ,871,8,Facultad de Ciencias Exactas y Tecnología,7,388,2014,Universidad Nacional de Tucumán,104,Ingeniería en Computación,339
,,Grado               ,Ingeniería en Sistemas,5,71,17,137,Estatal                                           ,83,Universidad                                       ,120,,Departamento de Ciencias e Ingeniería de la Computación,,54,2014,Universidad Nacional del Sur,12,Ingeniería en Computación,49
,1,Grado               ,Ingeniería en Sistemas,,9,,43,Privada                                           ,9,Universidad                                       ,43,1,Facultad de Ingeniería,,34,2014,Universidad de Mendoza,,Ingeniería en Computación,34
,,Grado               ,Ingeniería en Sistemas,3,,3,5,Privada                                           ,,Universidad                                       ,2,,Facultad de Ingeniería y Ciencias Exactas y Naturales,,5,2015,Universidad  Favaloro,,Ingeniería en Computación,2
,4,Grado               ,Ingeniería en Sistemas,1,5,2,30,Privada                                           ,6,Universidad                                       ,28,3,Facultad de Ingeniería,1,24,2015,Universidad Católica de Córdoba,1,Ingeniería en Computación,23
,1,Grado               ,Ingeniería en Sistemas,5,,5,19,Privada                                           ,,Universidad                                       ,14,1,Facultad de Matemática Aplicada,,19,2015,Universidad Católica de Santiago del Estero,,Ingeniería en Computación,14
,20,Grado               ,Ingeniería en Sistemas,59,196,72,785,Estatal                                           ,209,Universidad                                       ,713,16,"Facultad de Ciencias Exactas, Físicas y Naturales",4,576,2015,Universidad Nacional de Córdoba,13,Ingeniería en Computación,517
,14,Grado               ,Ingeniería en Sistemas,47,134,68,596,Estatal                                           ,155,Universidad                                       ,528,13,Facultad de Informática e Ingeniería,1,441,2015,Universidad Nacional de La Plata,21,Ingeniería en Computación,394
,,Grado               ,Ingeniería en Sistemas,2,26,5,48,Estatal                                           ,29,Universidad                                       ,43,,Facultad de Ingeniería,,19,2015,Universidad Nacional de Mar del Plata,3,Ingeniería en Computación,17
,,Grado               ,Ingeniería en Sistemas,2,9,4,23,Estatal                                           ,11,Universidad                                       ,19,,Facultad de Cs. Físico-Matemáticas y Naturales,,12,2015,Universidad Nacional de San Luis,2,Ingeniería en Computación,10
,,Grado               ,Ingeniería en Sistemas,29,224,51,569,Estatal                                           ,246,Universidad                                       ,518,,Secretaría Académica,,323,2015,Universidad Nacional de Tres de Febrero,22,Ingeniería en Computación,294
,15,Grado               ,Ingeniería en Sistemas,35,84,42,497,Estatal                                           ,91,Universidad                                       ,455,10,Facultad de Ciencias Exactas y Tecnología,5,406,2015,Universidad Nacional de Tucumán,7,Ingeniería en Computación,371
,,Grado               ,Ingeniería en Sistemas,8,54,12,140,Estatal                                           ,58,Universidad                                       ,128,,Departamento de Ciencias e Ingeniería de la Computación,,82,2015,Universidad Nacional del Sur,4,Ingeniería en Computación,74
,1,Grado               ,Ingeniería en Sistemas,,14,,47,Privada                                           ,14,Universidad                                       ,47,1,Facultad de Ingeniería,,33,2015,Universidad de Mendoza,,Ingeniería en Computación,33
,12,Grado               ,Ingeniería en Sistemas,14,25,25,164,Privada                                           ,36,Universidad                                       ,139,11,Facultad de Ciencias Físico Matemáticas e Ingeniería,1,128,2010,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,11,Ingeniería en Informática,114
,3,Grado               ,Ingeniería en Sistemas,141,307,174,"1,608",Privada                                           ,340,Universidad                                       ,"1,434",2,Facultad de Ingeniería y Ciencias Exactas,1,"1,268",2010,Universidad Argentina de la Empresa,33,Ingeniería en Informática,"1,127"
,,Grado               ,Ingeniería en Sistemas,1,3,2,10,Privada                                           ,4,Universidad                                       ,8,,ANEXO MAR DEL PLATA,,6,2010,Universidad Atlántida Argentina,1,Ingeniería en Informática,5
,,Grado               ,Ingeniería en Sistemas,3,9,4,27,Privada                                           ,10,Universidad                                       ,23,,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,,17,2010,Universidad Atlántida Argentina,1,Ingeniería en Informática,14
,6,Grado               ,Ingeniería en Sistemas,11,13,15,94,Privada                                           ,17,Universidad                                       ,79,5,Facultad de Ingeniería,1,77,2010,Universidad Austral,4,Ingeniería en Informática,66
,10,Grado               ,Ingeniería en Sistemas,29,40,30,285,Privada                                           ,41,Universidad                                       ,255,7,Facultad de Ingeniería e Informática,3,244,2010,Universidad Católica de Salta,1,Ingeniería en Informática,215
,14,Grado               ,Ingeniería en Sistemas,14,9,15,116,Privada                                           ,10,Universidad                                       ,101,12,Subsede Académica Buenos Aires,2,106,2010,Universidad Católica de Salta,1,Ingeniería en Informática,92
,,Grado               ,Ingeniería en Sistemas,7,24,11,97,Privada                                           ,28,Universidad                                       ,86,,Departamento Académico Rafaela,,69,2010,Universidad Católica de Santiago del Estero,4,Ingeniería en Informática,62
,,Grado               ,Ingeniería en Sistemas,19,22,27,131,Privada                                           ,30,Universidad                                       ,104,,Departamento Académico San Salvador,,101,2010,Universidad Católica de Santiago del Estero,8,Ingeniería en Informática,82
,,Grado               ,Ingeniería en Sistemas,10,31,14,114,Privada                                           ,35,Universidad                                       ,100,,Facultad de Matemática Aplicada,,79,2010,Universidad Católica de Santiago del Estero,4,Ingeniería en Informática,69
,2,Grado               ,Ingeniería en Sistemas,18,50,22,226,Privada                                           ,54,Universidad                                       ,204,2,Departamento de Informática,,172,2010,Universidad Gastón Dachary,4,Ingeniería en Informática,154
,,Grado               ,Ingeniería en Sistemas,41,54,51,238,Estatal                                           ,64,Universidad                                       ,187,,Facultad de Tecnología y Ciencias Aplicadas,,174,2010,Universidad Nacional de Catamarca,10,Ingeniería en Informática,133
,5,Grado               ,Ingeniería en Sistemas,221,172,259,984,Estatal                                           ,210,Universidad                                       ,725,4,Facultad de Ingeniería,1,774,2010,Universidad Nacional de Jujuy,38,Ingeniería en Informática,553
,70,Grado               ,Ingeniería en Sistemas,721,562,821,"4,439",Estatal                                           ,662,Universidad                                       ,"3,618",59,Departamento de Ingeniería e Investigaciones Tecnológicas,11,"3,777",2010,Universidad Nacional de La Matanza,100,Ingeniería en Informática,"3,056"
,17,Grado               ,Ingeniería en Sistemas,95,180,129,952,Estatal                                           ,214,Universidad                                       ,823,14,Facultad de Ingeniería y Ciencias Hídricas,3,738,2010,Universidad Nacional del Litoral,34,Ingeniería en Informática,643
,,Grado               ,Ingeniería en Sistemas,16,82,29,197,Estatal                                           ,95,Universidad                                       ,168,,Escuela de Tecnología,,102,2010,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,13,Ingeniería en Informática,86
,11,Grado               ,Ingeniería en Sistemas,46,13,47,296,Privada                                           ,14,Universidad                                       ,249,11,Facultad de Tecnología Informática,,282,2010,Universidad de Belgrano,1,Ingeniería en Informática,236
,71,Grado               ,Ingeniería en Sistemas,,,,"4,056",Estatal                                           ,"1,117",Universidad                                       ,,,Facultad de Ingeniería,,"2,939",2010,Universidad de Buenos Aires,,Ingeniería en Informática,
,10,Grado               ,Ingeniería en Sistemas,16,27,18,166,Privada                                           ,29,Universidad                                       ,148,9,Facultad de Ingeniería,1,137,2010,Universidad de Mendoza,2,Ingeniería en Informática,121
,3,Grado               ,Ingeniería en Sistemas,18,16,18,100,Privada                                           ,16,Universidad                                       ,82,1,Subsede San Rafael,2,84,2010,Universidad de Mendoza,,Ingeniería en Informática,66
,11,Grado               ,Ingeniería en Sistemas,35,38,41,293,Privada                                           ,44,Universidad                                       ,252,10,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",1,249,2010,Universidad de Morón,6,Ingeniería en Informática,214
,15,Grado               ,Ingeniería en Sistemas,40,93,54,434,Privada                                           ,107,Universidad                                       ,380,15,Facultad de Ingeniería,,327,2010,Universidad de Palermo,14,Ingeniería en Informática,287
,15,Grado               ,Ingeniería en Sistemas,14,29,19,247,Privada                                           ,34,Universidad                                       ,228,15,Facultad de Ingeniería,,213,2010,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,5,Ingeniería en Informática,199
,1,Grado               ,Ingeniería en Sistemas,7,8,9,53,Privada                                           ,10,Universidad                                       ,44,,Secretaria Académica,1,43,2010,Universidad del CEMA,2,Ingeniería en Informática,36
,18,Grado               ,Ingeniería en Sistemas,15,20,21,118,Privada                                           ,26,Universidad                                       ,97,16,Facultad de Ingeniería,2,92,2010,Universidad del Norte Santo Tomás de Aquino,6,Ingeniería en Informática,77
,,Grado               ,Ingeniería en Sistemas,9,30,13,102,Privada                                           ,34,Universidad                                       ,89,,Complejo Educativo Nuestra Señora del Pilar,,68,2010,Universidad del Salvador,4,Ingeniería en Informática,59
,,Grado               ,Ingeniería en Sistemas,22,3,60,192,Privada                                           ,41,Universidad                                       ,132,,Facultad de Ciencias de la Administración,,151,2010,Universidad del Salvador,38,Ingeniería en Informática,129
,30,Grado               ,Ingeniería en Sistemas,15,45,20,194,Privada                                           ,50,Instituto Universitario                           ,174,29,Departamento de Informática,1,144,2010,Instituto Tecnológico de Buenos Aires,5,Ingeniería en Informática,129
,,Grado               ,Ingeniería en Sistemas,4,24,5,111,Estatal                                           ,25,Instituto Universitario                           ,106,,Facultad de Ingeniería,,86,2010,Instituto Universitario Aeronáutico,1,Ingeniería en Informática,82
,8,Grado               ,Ingeniería en Sistemas,3,15,4,50,Estatal                                           ,16,Instituto Universitario                           ,46,7,Unidad Académica Escuela Superior Técnica,1,34,2010,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",1,Ingeniería en Informática,31
,9,Grado               ,Ingeniería en Sistemas,18,18,19,138,Privada                                           ,19,Universidad                                       ,119,5,Facultad de Ciencias Físico Matemáticas e Ingeniería,4,119,2011,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,1,Ingeniería en Informática,101
,27,Grado               ,Ingeniería en Sistemas,137,289,176,"1,610",Privada                                           ,328,Universidad                                       ,"1,434",25,Facultad de Ingeniería y Ciencias Exactas,2,"1,282",2011,Universidad Argentina de la Empresa,39,Ingeniería en Informática,"1,145"
,,Grado               ,Ingeniería en Sistemas,2,2,2,9,Privada                                           ,2,Universidad                                       ,7,,ANEXO MAR DEL PLATA,,7,2011,Universidad Atlántida Argentina,,Ingeniería en Informática,5
,,Grado               ,Ingeniería en Sistemas,3,10,5,25,Privada                                           ,12,Universidad                                       ,20,,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,,13,2011,Universidad Atlántida Argentina,2,Ingeniería en Informática,10
,4,Grado               ,Ingeniería en Sistemas,11,21,12,84,Privada                                           ,22,Universidad                                       ,72,4,Facultad de Ingeniería,,62,2011,Universidad Austral,1,Ingeniería en Informática,51
,27,Grado               ,Ingeniería en Sistemas,35,37,40,356,Privada                                           ,42,Universidad                                       ,316,23,Facultad de Ingeniería,4,314,2011,Universidad Católica de Salta,5,Ingeniería en Informática,279
,,Grado               ,Ingeniería en Sistemas,11,21,11,113,Privada                                           ,21,Universidad                                       ,102,,Departamento Académico Rafaela,,92,2011,Universidad Católica de Santiago del Estero,,Ingeniería en Informática,81
,,Grado               ,Ingeniería en Sistemas,23,29,28,139,Privada                                           ,34,Universidad                                       ,111,,Departamento Académico San Salvador,,105,2011,Universidad Católica de Santiago del Estero,5,Ingeniería en Informática,82
,,Grado               ,Ingeniería en Sistemas,11,29,16,119,Privada                                           ,34,Universidad                                       ,103,,Facultad de Matemática Aplicada,,85,2011,Universidad Católica de Santiago del Estero,5,Ingeniería en Informática,74
,3,Grado               ,Ingeniería en Sistemas,24,84,29,279,Privada                                           ,89,Universidad                                       ,250,3,Departamento de Informática,,190,2011,Universidad Gastón Dachary,5,Ingeniería en Informática,166
,,Grado               ,Ingeniería en Sistemas,,,,2,Privada                                           ,,Universidad                                       ,2,,Departamento de Informática Oberá,,2,2011,Universidad Gastón Dachary,,Ingeniería en Informática,2
,,Grado               ,Ingeniería en Sistemas,39,50,50,225,Estatal                                           ,61,Universidad                                       ,175,,Facultad de Tecnología y Ciencias Aplicadas,,164,2011,Universidad Nacional de Catamarca,11,Ingeniería en Informática,125
,5,Grado               ,Ingeniería en Sistemas,211,177,250,"1,001",Estatal                                           ,216,Universidad                                       ,751,5,Facultad de Ingeniería,,785,2011,Universidad Nacional de Jujuy,39,Ingeniería en Informática,574
,47,Grado               ,Ingeniería en Sistemas,638,422,732,"4,261",Estatal                                           ,516,Universidad                                       ,"3,529",41,Departamento de Ingeniería e Investigaciones Tecnológicas,6,"3,745",2011,Universidad Nacional de La Matanza,94,Ingeniería en Informática,"3,107"
,8,Grado               ,Ingeniería en Sistemas,98,172,123,925,Estatal                                           ,197,Universidad                                       ,802,8,Facultad de Ingeniería y Ciencias Hídricas,,728,2011,Universidad Nacional del Litoral,25,Ingeniería en Informática,630
,6,Grado               ,Ingeniería en Sistemas,18,47,20,200,Estatal                                           ,49,Universidad                                       ,180,6,Escuela de Tecnología,,151,2011,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,2,Ingeniería en Informática,133
,11,Grado               ,Ingeniería en Sistemas,48,16,54,320,Privada                                           ,22,Universidad                                       ,266,11,Facultad de Tecnología Informática,,298,2011,Universidad de Belgrano,6,Ingeniería en Informática,250
,63,Grado               ,Ingeniería en Sistemas,451,922,616,"4,330",Estatal                                           ,"1,087",Universidad                                       ,"3,714",52,Facultad de Ingeniería,11,"3,243",2011,Universidad de Buenos Aires,165,Ingeniería en Informática,"2,792"
,4,Grado               ,Ingeniería en Sistemas,13,15,13,135,Privada                                           ,15,Universidad                                       ,122,4,Facultad de Ingeniería,,120,2011,Universidad de Mendoza,,Ingeniería en Informática,107
,5,Grado               ,Ingeniería en Sistemas,16,11,21,107,Privada                                           ,16,Universidad                                       ,86,2,Subsede San Rafael,3,91,2011,Universidad de Mendoza,5,Ingeniería en Informática,75
,8,Grado               ,Ingeniería en Sistemas,26,69,34,278,Privada                                           ,77,Universidad                                       ,244,6,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",2,201,2011,Universidad de Morón,8,Ingeniería en Informática,175
,16,Grado               ,Ingeniería en Sistemas,44,109,49,466,Privada                                           ,114,Universidad                                       ,417,14,Facultad de Ingeniería,2,352,2011,Universidad de Palermo,5,Ingeniería en Informática,308
,26,Grado               ,Ingeniería en Sistemas,11,14,15,207,Privada                                           ,18,Universidad                                       ,192,22,Facultad de Ingeniería,4,189,2011,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,4,Ingeniería en Informática,178
,4,Grado               ,Ingeniería en Sistemas,5,14,5,43,Privada                                           ,14,Universidad                                       ,38,2,Secretaria Académica,2,29,2011,Universidad del CEMA,,Ingeniería en Informática,24
,12,Grado               ,Ingeniería en Sistemas,12,22,14,100,Privada                                           ,24,Universidad                                       ,86,8,Facultad de Ingeniería,4,76,2011,Universidad del Norte Santo Tomás de Aquino,2,Ingeniería en Informática,64
,,Grado               ,Ingeniería en Sistemas,9,41,12,135,Privada                                           ,44,Universidad                                       ,123,,Complejo Educativo Nuestra Señora del Pilar,,91,2011,Universidad del Salvador,3,Ingeniería en Informática,82
,,Grado               ,Ingeniería en Sistemas,24,42,33,211,Privada                                           ,51,Universidad                                       ,178,,Facultad de Ciencias de la Administración,,160,2011,Universidad del Salvador,9,Ingeniería en Informática,136
,27,Grado               ,Ingeniería en Sistemas,20,32,26,200,Privada                                           ,38,Instituto Universitario                           ,174,24,Departamento de Informática,3,162,2011,Instituto Tecnológico de Buenos Aires,6,Ingeniería en Informática,142
,6,Grado               ,Ingeniería en Sistemas,6,21,10,181,Estatal                                           ,25,Instituto Universitario                           ,171,6,Facultad de Ingeniería,,156,2011,Instituto Universitario Aeronáutico,4,Ingeniería en Informática,150
,1,Grado               ,Ingeniería en Sistemas,2,10,2,46,Estatal                                           ,10,Instituto Universitario                           ,44,1,Unidad Académica Escuela Superior Técnica,,36,2011,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",,Ingeniería en Informática,34
,9,Grado               ,Ingeniería en Sistemas,14,22,16,115,Privada                                           ,24,Universidad                                       ,99,6,Facultad de Ciencias Físico Matemáticas e Ingeniería,3,91,2012,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,2,Ingeniería en Informática,77
,35,Grado               ,Ingeniería en Sistemas,142,267,186,"1,568",Privada                                           ,311,Universidad                                       ,"1,382",30,Facultad de Ingeniería y Ciencias Exactas,5,"1,257",2012,Universidad Argentina de la Empresa,44,Ingeniería en Informática,"1,115"
,,Grado               ,Ingeniería en Sistemas,2,,2,8,Privada                                           ,,Universidad                                       ,6,,ANEXO MAR DEL PLATA,,8,2012,Universidad Atlántida Argentina,,Ingeniería en Informática,6
,3,Grado               ,Ingeniería en Sistemas,3,12,3,26,Privada                                           ,12,Universidad                                       ,23,2,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,1,14,2012,Universidad Atlántida Argentina,,Ingeniería en Informática,11
,33,Grado               ,Ingeniería en Sistemas,10,21,12,89,Privada                                           ,23,Universidad                                       ,77,23,Facultad de Ingeniería,10,66,2012,Universidad Austral,2,Ingeniería en Informática,56
,26,Grado               ,Ingeniería en Sistemas,31,51,33,338,Privada                                           ,53,Universidad                                       ,305,23,Facultad de Ingeniería,3,285,2012,Universidad Católica de Salta,2,Ingeniería en Informática,254
,6,Grado               ,Ingeniería en Sistemas,10,20,17,126,Privada                                           ,27,Universidad                                       ,109,5,Departamento Académico Rafaela,1,99,2012,Universidad Católica de Santiago del Estero,7,Ingeniería en Informática,89
,,Grado               ,Ingeniería en Sistemas,22,26,25,138,Privada                                           ,29,Universidad                                       ,113,,Departamento Académico San Salvador,,109,2012,Universidad Católica de Santiago del Estero,3,Ingeniería en Informática,87
,,Grado               ,Ingeniería en Sistemas,14,38,14,137,Privada                                           ,38,Universidad                                       ,123,,Facultad de Matemática Aplicada,,99,2012,Universidad Católica de Santiago del Estero,,Ingeniería en Informática,85
,,Grado               ,Ingeniería en Sistemas,19,65,24,259,Privada                                           ,70,Universidad                                       ,235,,Departamento de Informática,,189,2012,Universidad Gastón Dachary,5,Ingeniería en Informática,170
,,Grado               ,Ingeniería en Sistemas,,480,85,565,Estatal                                           ,565,Universidad                                       ,480,,Departamento de Produccion y Trabajo,,,2012,Universidad Nacional de Avellaneda,85,Ingeniería en Informática,
,4,Grado               ,Ingeniería en Sistemas,31,47,41,213,Estatal                                           ,57,Universidad                                       ,172,2,Facultad de Tecnología y Ciencias Aplicadas,2,156,2012,Universidad Nacional de Catamarca,10,Ingeniería en Informática,125
,,Grado               ,Ingeniería en Sistemas,208,157,239,980,Estatal                                           ,188,Universidad                                       ,741,,Facultad de Ingeniería,,792,2012,Universidad Nacional de Jujuy,31,Ingeniería en Informática,584
,87,Grado               ,Ingeniería en Sistemas,486,311,542,"3,249",Estatal                                           ,367,Universidad                                       ,"2,707",72,Departamento de Ingeniería e Investigaciones Tecnológicas,15,"2,882",2012,Universidad Nacional de La Matanza,56,Ingeniería en Informática,"2,396"
,,Grado               ,Ingeniería en Sistemas,,49,7,56,Estatal                                           ,56,Universidad                                       ,49,,Facultad de Cs. Físico-Matemáticas y Naturales,,,2012,Universidad Nacional de San Luis,7,Ingeniería en Informática,
,9,Grado               ,Ingeniería en Sistemas,92,149,106,887,Estatal                                           ,163,Universidad                                       ,781,6,Facultad de Ingeniería y Ciencias Hídricas,3,724,2012,Universidad Nacional del Litoral,14,Ingeniería en Informática,632
,5,Grado               ,Ingeniería en Sistemas,20,36,21,196,Estatal                                           ,37,Universidad                                       ,175,3,Escuela de Tecnología,2,159,2012,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,1,Ingeniería en Informática,139
,,Grado               ,Ingeniería en Sistemas,,,,3,Estatal                                           ,,Universidad                                       ,3,,Escuela de Tecnología - Sede Pergamino,,3,2012,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,,Ingeniería en Informática,3
,11,Grado               ,Ingeniería en Sistemas,48,25,54,320,Privada                                           ,31,Universidad                                       ,266,11,Facultad de Tecnología Informática,,289,2012,Universidad de Belgrano,6,Ingeniería en Informática,241
,49,Grado               ,Ingeniería en Sistemas,445,784,577,"3,963",Estatal                                           ,916,Universidad                                       ,"3,386",47,Facultad de Ingeniería,2,"3,047",2012,Universidad de Buenos Aires,132,Ingeniería en Informática,"2,602"
,7,Grado               ,Ingeniería en Sistemas,12,12,12,111,Privada                                           ,12,Universidad                                       ,99,6,Facultad de Ingeniería,1,99,2012,Universidad de Mendoza,,Ingeniería en Informática,87
,13,Grado               ,Ingeniería en Sistemas,14,14,14,95,Privada                                           ,14,Universidad                                       ,81,10,Subsede San Rafael,3,81,2012,Universidad de Mendoza,,Ingeniería en Informática,67
,10,Grado               ,Ingeniería en Sistemas,27,56,33,261,Privada                                           ,62,Universidad                                       ,228,6,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",4,199,2012,Universidad de Morón,6,Ingeniería en Informática,172
,12,Grado               ,Ingeniería en Sistemas,39,61,49,394,Privada                                           ,71,Universidad                                       ,345,9,Facultad de Ingeniería,3,323,2012,Universidad de Palermo,10,Ingeniería en Informática,284
,8,Grado               ,Ingeniería en Sistemas,7,19,8,172,Privada                                           ,20,Universidad                                       ,164,7,Facultad de Ingeniería,1,152,2012,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,1,Ingeniería en Informática,145
,4,Grado               ,Ingeniería en Sistemas,5,10,6,50,Privada                                           ,11,Universidad                                       ,44,3,Secretaria Académica,1,39,2012,Universidad del CEMA,1,Ingeniería en Informática,34
,9,Grado               ,Ingeniería en Sistemas,10,20,16,101,Privada                                           ,26,Universidad                                       ,85,8,Facultad de Ingeniería,1,75,2012,Universidad del Norte Santo Tomás de Aquino,6,Ingeniería en Informática,65
,,Grado               ,Ingeniería en Sistemas,13,46,16,174,Privada                                           ,49,Universidad                                       ,158,,Complejo Educativo Nuestra Señora del Pilar,,125,2012,Universidad del Salvador,3,Ingeniería en Informática,112
,8,Grado               ,Ingeniería en Sistemas,27,40,36,243,Privada                                           ,49,Universidad                                       ,207,6,Facultad de Ciencias de la Administración,2,194,2012,Universidad del Salvador,9,Ingeniería en Informática,167
,24,Grado               ,Ingeniería en Sistemas,20,35,27,189,Privada                                           ,42,Instituto Universitario                           ,162,23,Departamento de Informática,1,147,2012,Instituto Tecnológico de Buenos Aires,7,Ingeniería en Informática,127
,7,Grado               ,Ingeniería en Sistemas,9,15,11,132,Estatal                                           ,17,Instituto Universitario                           ,121,7,Facultad de Ingeniería,,115,2012,Instituto Universitario Aeronáutico,2,Ingeniería en Informática,106
,2,Grado               ,Ingeniería en Sistemas,3,5,4,45,Estatal                                           ,6,Instituto Universitario                           ,41,1,Unidad Académica Escuela Superior Técnica,1,39,2012,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",1,Ingeniería en Informática,36
,13,Grado               ,Ingeniería en Sistemas,11,29,14,116,Privada                                           ,32,Universidad                                       ,102,11,Facultad de Ciencias Físico Matemáticas e Ingeniería,2,84,2013,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,3,Ingeniería en Informática,73
,24,Grado               ,Ingeniería en Sistemas,130,238,165,"1,476",Privada                                           ,273,Universidad                                       ,"1,311",22,Facultad de Ingeniería y Ciencias Exactas,2,"1,203",2013,Universidad Argentina de la Empresa,35,Ingeniería en Informática,"1,073"
,1,Grado               ,Ingeniería en Sistemas,2,7,2,13,Privada                                           ,7,Universidad                                       ,11,1,ANEXO MAR DEL PLATA,,6,2013,Universidad Atlántida Argentina,,Ingeniería en Informática,4
,2,Grado               ,Ingeniería en Sistemas,2,9,6,32,Privada                                           ,13,Universidad                                       ,26,1,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,1,19,2013,Universidad Atlántida Argentina,4,Ingeniería en Informática,17
,32,Grado               ,Ingeniería en Sistemas,6,34,7,99,Privada                                           ,35,Universidad                                       ,92,26,Facultad de Ingeniería,6,64,2013,Universidad Austral,1,Ingeniería en Informática,58
,7,Grado               ,Ingeniería en Sistemas,19,49,26,299,Privada                                           ,56,Universidad                                       ,273,7,Facultad de Ingeniería,,243,2013,Universidad Católica de Salta,7,Ingeniería en Informática,224
,5,Grado               ,Ingeniería en Sistemas,13,25,18,126,Privada                                           ,30,Universidad                                       ,108,5,Departamento Académico Rafaela,,96,2013,Universidad Católica de Santiago del Estero,5,Ingeniería en Informática,83
,2,Grado               ,Ingeniería en Sistemas,21,19,23,139,Privada                                           ,21,Universidad                                       ,116,2,Departamento Académico San Salvador,,118,2013,Universidad Católica de Santiago del Estero,2,Ingeniería en Informática,97
,2,Grado               ,Ingeniería en Sistemas,11,20,13,125,Privada                                           ,22,Universidad                                       ,112,2,Facultad de Matemática Aplicada,,103,2013,Universidad Católica de Santiago del Estero,2,Ingeniería en Informática,92
