,Total de Egresados,Nivel de la Oferta,Carrera,Reinscriptos Mujeres,Nuevos Inscriptos Varones,Estudiantes Mujeres,Total de Estudiantes,Gestión,Total de Nuevos Inscriptos,Tipo de Institución,Estudiantes Varones,Egresados Varones,Unidad Académica,Egresados Mujeres,Total de Reinscriptos,Año,Institución,Nuevas Inscriptas Mujeres,Título,Reinscriptos Varones
,16,Pregrado            ,"Computación, Sistemas e Informática",113,122,140,575,Estatal                                           ,149,Universidad                                       ,435,15,Facultad de Ingeniería,1,426,2012,Universidad Nacional de Jujuy,27,Analista Programador Universitario,313
,65,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,59,Departamento de Ingeniería e Investigaciones Tecnológicas,6,,2012,Universidad Nacional de La Matanza,,Analista Programador Universitario,
,54,Pregrado            ,"Computación, Sistemas e Informática",128,267,181,964,Estatal                                           ,320,Universidad                                       ,783,44,Facultad de Informática,10,644,2012,Universidad Nacional de La Plata,53,Analista Programador Universitario,516
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,1,Departamento de Desarrollo Productivo y Tecnológico,,,2012,Universidad Nacional de Lanús,,Analista Programador Universitario,
,9,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,6,Rectorado,3,,2012,Universidad Nacional de Luján,,Analista Programador Universitario,
,7,Pregrado            ,"Computación, Sistemas e Informática",13,,13,33,Estatal                                           ,,Universidad                                       ,20,1,"Facultad de Ciencias Exactas, Físicas y Naturales",6,33,2012,Universidad Nacional de San Juan,,Programador Universitario,20
,6,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,6,Facultad de Cs. Físico-Matemáticas y Naturales,,,2012,Universidad Nacional de San Luis,,Analista Programador Universitario,
,4,Pregrado            ,"Computación, Sistemas e Informática",76,58,84,289,Estatal                                           ,66,Universidad                                       ,205,1,Facultad de Ciencias  Exactas y Tecnológicas,3,223,2012,Universidad Nacional de Santiago del Estero,8,Programador Universitario en Informática,147
,1,Pregrado            ,"Computación, Sistemas e Informática",28,18,33,136,Estatal                                           ,23,Universidad                                       ,103,,Facultad de Ciencias Exactas y Tecnología,1,113,2012,Universidad Nacional de Tucumán,5,Programador Universitario,85
,3,Pregrado            ,"Computación, Sistemas e Informática",3,17,5,71,Estatal                                           ,19,Universidad                                       ,66,3,Facultad de Ingenieria - Sede Puerto Madryn,,52,2012,Universidad Nacional de la Patagonia San Juan Bosco,2,Analista Programador Universitario,49
,6,Pregrado            ,"Computación, Sistemas e Informática",34,24,43,147,Estatal                                           ,33,Universidad                                       ,104,4,Facultad de Ingeniería - Sede Comodoro Rivadavia,2,114,2012,Universidad Nacional de la Patagonia San Juan Bosco,9,Analista Programador Universitario,80
,8,Pregrado            ,"Computación, Sistemas e Informática",18,16,20,108,Estatal                                           ,18,Universidad                                       ,88,6,Facultad de Ingeniería - Sede Trelew,2,90,2012,Universidad Nacional de la Patagonia San Juan Bosco,2,Analista Programador Universitario,72
,,Pregrado            ,"Computación, Sistemas e Informática",1,,1,7,Estatal                                           ,,Universidad                                       ,6,,Facultad de Ingeniería - Sede Ushuaia,,7,2012,Universidad Nacional de la Patagonia San Juan Bosco,,Analista Programador Universitario,6
,53,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,45,Facultad de Ciencias Exactas,8,,2012,Universidad Nacional del Centro de la Provincia de Buenos Aires,,Analista Programador Universitario,
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,1,Facultad de Ciencias Exactas y Naturales y Agrimensura,,,2012,Universidad Nacional del Nordeste,,Analista Programador Universitario,
,45,Pregrado            ,"Computación, Sistemas e Informática",,,,,Estatal                                           ,,Universidad                                       ,,30,Facultad de Ciencias Exactas y Naturales y Agrimensura,15,,2012,Universidad Nacional del Nordeste,,Programador Universitario de Aplicaciones,
,9,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,6,Facultad de Ingeniería,3,,2012,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,,Programador Universitario,
,1,Pregrado            ,"Computación, Sistemas e Informática",,,,,Privada                                           ,,Universidad                                       ,,1,Facultad de Informática,,,2013,Universidad Champagnat,,Programador Universitario,
